SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,GRADE,RACE_ETHNICITY,SEX,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,American Indian or Alaska Native,Female,183,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,American Indian or Alaska Native,Male,179,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Asian,Female,400,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Asian,Male,381,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Black or African American,Female,8811,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Black or African American,Male,9810,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Hispanic/Latino,Female,3209,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Hispanic/Latino,Male,3398,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Native Hawaiian or Other Pacific Islander,Female,32,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Native Hawaiian or Other Pacific Islander,Male,27,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Not Specified,Not Specified,0,Category Set A - By Race/Ethnicity; Sex; Grade,Derived
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Two or more races,Female,1278,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,Two or more races,Male,1367,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,White,Female,14687,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 1,White,Male,15723,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,American Indian or Alaska Native,Female,274,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,American Indian or Alaska Native,Male,267,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Asian,Female,450,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Asian,Male,444,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Black or African American,Female,8960,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Black or African American,Male,9412,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Hispanic/Latino,Female,3126,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Hispanic/Latino,Male,3195,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Native Hawaiian or Other Pacific Islander,Female,25,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Native Hawaiian or Other Pacific Islander,Male,37,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Not Specified,Not Specified,0,Category Set A - By Race/Ethnicity; Sex; Grade,Derived
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Two or more races,Female,805,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Grade 10,Two or more races,Male,746,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
