SURVYEAR	FIPST	STABR	STATENAME	SEANAME	SCHSUP	SECTCH	STAFF	ELMGUI	KGTCH	LEASUP	PARA	SECGUI	CORSUP	ELMTCH	LIBSUP	SCHADM	STUSUP	GUI	LEAADM	LIBSPE	OTHSUP	PKTCH	UGTCH	TOTTCH	TOTGUI	ISCHSUP	ISECTCH	ISTAFF	IELMGUI	IKGTCH	ILEASUP	IPARA	ISECGUI	ICORSUP	IELMTCH	ILIBSUP	ISCHADM	ISTUSUP	IGUI	ILEAADM	ILIBSPE	IOTHSUP	IPKTCH	IUGTCH	ITOTTCH	ITOTGUI
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	2593.71	20076.30	87453.51	962.96	4760.82	753.65	6199.56	647.26	182.03	17240.17	278.87	3837.05	3079.38	33.13	770.14	983.50	24395.48	659.50	-2.00	42736.79	1643.35	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	T
2014-2015	02	AK	ALASKA	Alaska Department of Education and Early Development	1058.47	3501.81	17087.79	65.53	449.12	788.87	2476.55	190.48	203.00	3662.21	78.81	645.04	613.18	41.36	637.87	140.70	2388.85	145.94	-2.00	7759.08	297.37	R	R	TI	R	R	R	R	R	P	R	R	R	R	R	R	R	R	R	A	T	T
2014-2015	04	AZ	ARIZONA	Arizona Department of Education	3577.05	14850.94	102383.08	414.41	2676.72	4107.37	14690.42	789.10	641.34	30258.11	94.79	2492.07	11344.54	0.00	1321.08	457.85	14328.58	338.71	-2.00	48124.48	1203.51	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	05	AR	ARKANSAS	ARKANSAS DEPARTMENT OF EDUCATION	2823.73	14287.98	74107.44	586.10	2247.16	2595.19	8829.59	731.24	958.07	15690.74	193.83	1789.18	8137.64	0.00	636.91	961.57	10434.35	613.17	2590.99	35430.04	1317.34	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	06	CA	CALIFORNIA	California Department of Education	32717.27	85079.36	571388.65	2380.48	22160.54	20020.83	73219.50	4366.45	20195.37	153218.00	3745.00	17791.15	17738.88	1555.57	3239.76	810.81	105922.55	4715.00	2512.13	267685.03	8302.50	R	R	TI	R	R	R	R	R	R	R	P	R	R	R	R	R	R	P	R	TI	T
2014-2015	08	CO	COLORADO	Colorado Department of Education	4725.79	21900.11	108670.71	410.48	3833.32	4583.28	16719.18	1567.22	2864.99	24613.52	770.58	3159.62	6129.93	342.05	1274.75	600.90	14133.89	1041.10	-2.00	51388.05	2319.75	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	T
2014-2015	09	CT	CONNECTICUT	Connecticut State Department of Education	2975.79	15237.28	94057.79	443.31	1959.15	1703.49	15524.64	720.94	4759.37	23757.03	567.19	2216.11	2910.25	0.00	2150.52	742.02	17282.22	877.89	230.59	42061.94	1164.25	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	10	DE	DELAWARE	Delaware Department of Education	387.00	4770.00	18552.67	112.25	442.00	397.00	2007.13	200.00	293.00	4348.75	10.00	457.50	1119.21	0.00	434.19	125.00	3361.64	88.00	-2.00	9648.75	312.25	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
2014-2015	11	DC	DISTRICT OF COLUMBIA	WASHINGTON DC OFFICE OF THE ST SUPT OF EDUCATION	658.36	1721.50	13617.18	79.50	445.49	714.85	1758.09	130.05	224.48	3414.57	30.60	754.83	1184.94	15.00	638.00	93.74	769.44	946.18	37.56	6565.30	224.55	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	12	FL	FLORIDA	FLORIDA DEPARTMENT OF EDUCATION	15878.22	66300.52	341440.06	1857.11	10004.02	15384.24	31227.12	3229.90	725.93	64379.15	860.99	8582.22	11044.85	602.68	2066.89	2079.17	67458.47	2669.28	37089.30	180442.27	5689.69	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T
2014-2015	13	GA	GEORGIA	Georgia Department of Education	8791.70	43261.30	221926.40	1495.80	6726.10	2668.50	23910.90	2108.30	2861.40	42292.40	1159.30	6261.80	8071.80	0.00	2435.20	2104.10	48304.30	2839.00	16351.00	111469.80	3604.10	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	T	T
2014-2015	15	HI	HAWAII	Hawaii Department of Education	950.12	5218.20	22424.16	250.93	665.51	696.38	2457.45	371.58	635.70	5451.22	62.43	662.35	1732.25	0.00	252.00	172.50	2517.76	263.00	64.78	11662.71	622.51	R	R	R	R	C	R	R	R	R	A	R	R	R	A	R	R	R	R	R	T	T
2014-2015	16	ID	IDAHO	Idaho State Department of Education	959.82	8216.00	27450.96	192.38	619.92	663.30	3051.97	284.31	227.82	6640.61	257.71	678.43	541.71	0.00	131.36	48.50	4804.53	132.59	-2.00	15609.12	476.69	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	T	T
