SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,All Other Support Staff,20784.11,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Elementary School Counselors,961.55,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Elementary Teachers,16936.40,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Instructional Coordinators and Supervisors to the Staff,127.47,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Kindergarten Teachers,4690.95,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,LEA Administrative Support Staff,2369.31,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,LEA Administrators,1183.50,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Librarians/media specialists,1192.97,Category Set A,Imputation
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Library/Media Support Staff,352.87,Category Set A,Imputation
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Missing,,Category Set A,Not reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Paraprofessionals/Instructional Aides,6872.86,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Pre-kindergarten Teachers,848.80,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,School Administrative Support Staff,2588.92,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,School administrators,4415.74,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,School Counselors,174.09,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Secondary School Counselors,650.19,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Secondary Teachers,20056.80,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Student Support Services Staff,3044.60,Category Set A,Reported
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Guidance Counselors,1785.83,Derived - Major Staffing Category,Derived
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,LEA Staff,3680.28,Derived - Major Staffing Category,Derived
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Other Staff,20784.11,Derived - Major Staffing Category,Derived
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,School Staff,18467.96,Derived - Major Staffing Category,Derived
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,Teachers,42532.95,Derived - Major Staffing Category,Derived
2016-2017,01,ALABAMA,AL,Alabama Department Of Education,01,No Category Codes,87251.13,Education Unit Total,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2454.75,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,67.66,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3453.08,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,458.02,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,800.64,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,641.46,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,142.36,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,76.45,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2602.12,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Pre-kindergarten Teachers,159.36,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Administrative Support Staff,1065.24,Category Set A,Reported
2016-2017,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School administrators,640.27,Category Set A,Reported
