SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Kindergarten Teachers,4796.35,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrators,1137.94,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Librarians/media specialists,1305.34,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,48.90,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Paraprofessionals/Instructional Aides,6807.46,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Teachers,42335.96,Derived - Major Staffing Category,Derived
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Pre-kindergarten Teachers,1202.63,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary School Counselors,654.07,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,School Counselors,160.66,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary Teachers,16922.47,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Missing,,Category Set A,Not reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,School Staff,16723.31,Derived - Major Staffing Category,Derived
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,No Category Codes,76939.93,Education Unit Total,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Other Staff,12805.16,Derived - Major Staffing Category,Derived
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary School Counselors,954.19,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Student Support Services Staff (w/o Psychology),2181.53,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Library/Media Support Staff,163.61,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,All Other Support Staff,12805.16,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Staff,3306.58,Derived - Major Staffing Category,Derived
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Guidance Counselors,1768.92,Derived - Major Staffing Category,Derived
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,School Administrative Support Staff,2216.77,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,School administrators,4046.60,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary Teachers,19414.51,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrative Support Staff,2119.74,Category Set A,Reported
2020-2021,01,ALABAMA,AL,Alabama State Department of Education,01,School Psychologists,2.00,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,386.32,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,78.66,Category Set A,Reported
2020-2021,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3388.88,Category Set A,Reported
